Step 109, e:53, x:383, y:343, Plot(383,343)
Step 110, e:4, x:384, y:343, Plot(384,343)
Step 111, e:71, x:385, y:344, Plot(385,344)
Step 112, e:22, x:386, y:344, Plot(386,344)
Step 113, e:89, x:387, y:345, Plot(387,345)
Step 114, e:40, x:388, y:345, Plot(388,345)
Step 115, e:107, x:389, y:346, Plot(389,346)
Step 116, e:58, x:390, y:346, Plot(390,346)
Step 117, e:9, x:391, y:346, Plot(391,346)
Step 1, e:106, x:230, y:422, Plot(230,422)
Step 2, e:28, x:231, y:422, Plot(231,422)
Step 3, e:73, x:232, y:421, Plot(232,421)
Step 4, e:118, x:233, y:420, Plot(233,420)
Step 5, e:40, x:234, y:420, Plot(234,420)
Step 6, e:85, x:235, y:419, Plot(235,419)
Step 7, e:7, x:236, y:419, Plot(236,419)
Step 8, e:52, x:237, y:418, Plot(237,418)
Step 9, e:97, x:238, y:417, Plot(238,417)
Step 10, e:19, x:239, y:417, Plot(239,417)
Step 11, e:64, x:240, y:416, Plot(240,416)
Step 12, e:109, x:241, y:415, Plot(241,415)
Step 13, e:31, x:242, y:415, Plot(242,415)
Step 14, e:76, x:243, y:414, Plot(243,414)
Step 15, e:121, x:244, y:413, Plot(244,413)
Step 16, e:43, x:245, y:413, Plot(245,413)
Step 17, e:88, x:246, y:412, Plot(246,412)
Step 18, e:10, x:247, y:412, Plot(247,412)
Step 19, e:55, x:248, y:411, Plot(248,411)
Step 20, e:100, x:249, y:410, Plot(249,410)
Step 21, e:22, x:250, y:410, Plot(250,410)
Step 22, e:67, x:251, y:409, Plot(251,409)
Step 23, e:112, x:252, y:408, Plot(252,408)
Step 24, e:34, x:253, y:408, Plot(253,408)
Step 25, e:79, x:254, y:407, Plot(254,407)
Step 26, e:1, x:255, y:407, Plot(255,407)
Step 27, e:46, x:256, y:406, Plot(256,406)
Step 28, e:91, x:257, y:405, Plot(257,405)
Step 29, e:13, x:258, y:405, Plot(258,405)
Step 30, e:58, x:259, y:404, Plot(259,404)
Step 31, e:103, x:260, y:403, Plot(260,403)
Step 32, e:25, x:261, y:403, Plot(261,403)
Step 33, e:70, x:262, y:402, Plot(262,402)
Step 34, e:115, x:263, y:401, Plot(263,401)
Step 35, e:37, x:264, y:401, Plot(264,401)
Step 36, e:82, x:265, y:400, Plot(265,400)
Step 37, e:4, x:266, y:400, Plot(266,400)
Step 38, e:49, x:267, y:399, Plot(267,399)
Step 39, e:94, x:268, y:398, Plot(268,398)
Step 40, e:16, x:269, y:398, Plot(269,398)
Step 41, e:61, x:270, y:397, Plot(270,397)
Step 42, e:106, x:271, y:396, Plot(271,396)
Step 43, e:28, x:272, y:396, Plot(272,396)
Step 44, e:73, x:273, y:395, Plot(273,395)
Step 45, e:118, x:274, y:394, Plot(274,394)
Step 46, e:40, x:275, y:394, Plot(275,394)
Step 47, e:85, x:276, y:393, Plot(276,393)
Step 48, e:7, x:277, y:393, Plot(277,393)
Step 49, e:52, x:278, y:392, Plot(278,392)
Step 50, e:97, x:279, y:391, Plot(279,391)
Step 51, e:19, x:280, y:391, Plot(280,391)
Step 52, e:64, x:281, y:390, Plot(281,390)
Step 53, e:109, x:282, y:389, Plot(282,389)
Step 54, e:31, x:283, y:389, Plot(283,389)
Step 55, e:76, x:284, y:388, Plot(284,388)
Step 56, e:121, x:285, y:387, Plot(285,387)
Step 57, e:43, x:286, y:387, Plot(286,387)
Step 58, e:88, x:287, y:386, Plot(287,386)
Step 59, e:10, x:288, y:386, Plot(288,386)
Step 60, e:55, x:289, y:385, Plot(289,385)
Step 61, e:100, x:290, y:384, Plot(290,384)
Step 62, e:22, x:291, y:384, Plot(291,384)
Step 63, e:67, x:292, y:383, Plot(292,383)
Step 64, e:112, x:293, y:382, Plot(293,382)
Step 65, e:34, x:294, y:382, Plot(294,382)
Step 66, e:79, x:295, y:381, Plot(295,381)
Step 67, e:1, x:296, y:381, Plot(296,381)
Step 68, e:46, x:297, y:380, Plot(297,380)
Step 69, e:91, x:298, y:379, Plot(298,379)
Step 70, e:13, x:299, y:379, Plot(299,379)
Step 71, e:58, x:300, y:378, Plot(300,378)
Step 72, e:103, x:301, y:377, Plot(301,377)
Step 73, e:25, x:302, y:377, Plot(302,377)
Step 74, e:70, x:303, y:376, Plot(303,376)
Step 75, e:115, x:304, y:375, Plot(304,375)
Step 76, e:37, x:305, y:375, Plot(305,375)
Step 77, e:82, x:306, y:374, Plot(306,374)
Step 78, e:4, x:307, y:374, Plot(307,374)
Step 79, e:49, x:308, y:373, Plot(308,373)
Step 80, e:94, x:309, y:372, Plot(309,372)
Step 81, e:16, x:310, y:372, Plot(310,372)
Step 82, e:61, x:311, y:371, Plot(311,371)
Step 83, e:106, x:312, y:370, Plot(312,370)
Step 84, e:28, x:313, y:370, Plot(313,370)
Step 85, e:73, x:314, y:369, Plot(314,369)
Step 86, e:118, x:315, y:368, Plot(315,368)
Step 87, e:40, x:316, y:368, Plot(316,368)
Step 88, e:85, x:317, y:367, Plot(317,367)
Step 89, e:7, x:318, y:367, Plot(318,367)
Step 90, e:52, x:319, y:366, Plot(319,366)
Step 91, e:97, x:320, y:365, Plot(320,365)
Step 92, e:19, x:321, y:365, Plot(321,365)
Step 93, e:64, x:322, y:364, Plot(322,364)
Step 94, e:109, x:323, y:363, Plot(323,363)
Step 95, e:31, x:324, y:363, Plot(324,363)
Step 96, e:76, x:325, y:362, Plot(325,362)
Step 97, e:121, x:326, y:361, Plot(326,361)
Step 98, e:43, x:327, y:361, Plot(327,361)
Step 99, e:88, x:328, y:360, Plot(328,360)
Step 100, e:10, x:329, y:360, Plot(329,360)
Step 101, e:55, x:330, y:359, Plot(330,359)
Step 102, e:100, x:331, y:358, Plot(331,358)
Step 103, e:22, x:332, y:358, Plot(332,358)
Step 104, e:67, x:333, y:357, Plot(333,357)
Step 105, e:112, x:334, y:356, Plot(334,356)
Step 106, e:34, x:335, y:356, Plot(335,356)
Step 107, e:79, x:336, y:355, Plot(336,355)
Step 108, e:1, x:337, y:355, Plot(337,355)
Step 109, e:46, x:338, y:354, Plot(338,354)
Step 110, e:91, x:339, y:353, Plot(339,353)
Step 111, e:13, x:340, y:353, Plot(340,353)
Step 112, e:58, x:341, y:352, Plot(341,352)
Step 113, e:103, x:342, y:351, Plot(342,351)
Step 114, e:25, x:343, y:351, Plot(343,351)
Step 115, e:70, x:344, y:350, Plot(344,350)
Step 116, e:115, x:345, y:349, Plot(345,349)
Step 117, e:37, x:346, y:349, Plot(346,349)
Step 118, e:82, x:347, y:348, Plot(347,348)
Step 119, e:4, x:348, y:348, Plot(348,348)
Step 120, e:49, x:349, y:347, Plot(349,347)
Step 121, e:94, x:350, y:346, Plot(350,346)
Step 122, e:16, x:351, y:346, Plot(351,346)
Step 123, e:61, x:352, y:345, Plot(352,345)
Step 124, e:106, x:353, y:344, Plot(353,344)
Step 1, e:60, x:227, y:348, Plot(227,348)
Step 2, e:57, x:228, y:348, Plot(228,348)
Step 3, e:54, x:229, y:348, Plot(229,348)
Step 4, e:51, x:230, y:348, Plot(230,348)
Step 5, e:48, x:231, y:348, Plot(231,348)
Step 6, e:45, x:232, y:348, Plot(232,348)
Step 7, e:42, x:233, y:348, Plot(233,348)
Step 8, e:39, x:234, y:348, Plot(234,348)
Step 9, e:36, x:235, y:348, Plot(235,348)
Step 10, e:33, x:236, y:348, Plot(236,348)
Step 11, e:30, x:237, y:348, Plot(237,348)
Step 12, e:27, x:238, y:348, Plot(238,348)
Step 13, e:24, x:239, y:348, Plot(239,348)
Step 14, e:21, x:240, y:348, Plot(240,348)
Step 15, e:18, x:241, y:348, Plot(241,348)
Step 16, e:15, x:242, y:348, Plot(242,348)
Step 17, e:12, x:243, y:348, Plot(243,348)
Step 18, e:9, x:244, y:348, Plot(244,348)
Step 19, e:6, x:245, y:348, Plot(245,348)
Step 20, e:3, x:246, y:348, Plot(246,348)
Step 21, e:0, x:247, y:348, Plot(247,348)
Step 22, e:123, x:248, y:347, Plot(248,347)
Step 23, e:120, x:249, y:347, Plot(249,347)
Step 24, e:117, x:250, y:347, Plot(250,347)
Step 25, e:114, x:251, y:347, Plot(251,347)
Step 26, e:111, x:252, y:347, Plot(252,347)
Step 27, e:108, x:253, y:347, Plot(253,347)
Step 28, e:105, x:254, y:347, Plot(254,347)
Step 29, e:102, x:255, y:347, Plot(255,347)
Step 30, e:99, x:256, y:347, Plot(256,347)
Step 31, e:96, x:257, y:347, Plot(257,347)
Step 32, e:93, x:258, y:347, Plot(258,347)
Step 33, e:90, x:259, y:347, Plot(259,347)
Step 34, e:87, x:260, y:347, Plot(260,347)
Step 35, e:84, x:261, y:347, Plot(261,347)
Step 36, e:81, x:262, y:347, Plot(262,347)
Step 37, e:78, x:263, y:347, Plot(263,347)
